p,d,q,AIC
0,0,0,23494.22954224395
0,0,1,20769.7912197039
0,0,2,18647.536004937952
0,0,3,17064.381312133588
0,1,0,11078.401732766057
0,1,1,11076.415353877503
0,1,2,11074.439585080421
0,1,3,11072.983058830525
0,2,0,12575.93919015599
0,2,1,11082.92913023174
0,2,2,11080.910689829769
0,2,3,11078.94995906268
1,0,0,11092.560815443572
1,0,1,11090.682114691257
1,0,2,11088.789244428719
1,0,3,11087.268720905333
1,1,0,11076.79475355476
1,1,1,11077.133263178872
1,1,2,11073.871166810914
1,1,3,11069.10986383674
1,2,0,11997.845289600627
1,2,1,11081.303145981201
1,2,2,11080.703180817145
1,2,3,11076.079705698166
2,0,0,11091.04801779231
2,0,1,11090.36872287651
2,0,2,11088.715173246355
2,0,3,11083.087924524223
2,1,0,11073.643811537098
2,1,1,11074.122336148183
2,1,2,11076.102915498934
2,1,3,11071.045925459704
2,2,0,11669.550941354599
2,2,1,11078.154880985043
2,2,2,11076.523998746823
2,2,3,11060.17798833111
3,0,0,11087.999171050255
3,0,1,11088.521167343786
3,0,2,11090.451635051459
3,0,3,11073.788998684016
3,1,0,11073.545740781517
3,1,1,11070.040490592915
3,1,2,11071.414659192724
3,1,3,11067.26096924689
3,2,0,11516.646103982719
3,2,1,11078.042958431011
3,2,2,11075.7579891192
3,2,3,11076.908704095982
