p,d,q,AIC
0,0,0,17731.169426404173
0,0,1,15487.199072646927
0,0,2,13700.647172863175
0,0,3,12316.958710178564
0,1,0,6903.788860516946
0,1,1,6881.551581131137
0,1,2,6878.84421689837
0,1,3,6874.376138146539
0,2,0,8276.160035506626
0,2,1,6899.871811805728
0,2,2,6872.793693351887
0,2,3,6871.780165289622
1,0,0,6919.811742871955
1,0,1,6897.642814805721
1,0,2,6894.921442726402
1,0,3,6890.427798432847
1,1,0,6879.8348476829415
1,1,1,6881.525994984986
1,1,2,6878.327798099086
1,1,3,6874.857592800703
1,2,0,7609.688290155567
1,2,1,6871.369236930979
1,2,2,6873.313365251666
1,2,3,6876.299114971131
2,0,0,6895.920891687514
2,0,1,6917.281904652708
2,0,2,6899.557085181379
2,0,3,6890.949291750408
2,1,0,6881.144286873612
2,1,1,6879.8292833672085
2,1,2,6871.62398641793
2,1,3,6873.622110513469
2,2,0,7316.5760538027325
2,2,1,6873.258488345674
2,2,2,6873.364095410956
2,2,3,6865.028769347525
3,0,0,6897.227506880403
3,0,1,6898.390017598754
3,0,2,6893.443973834141
3,0,3,6883.983431475108
3,1,0,6873.52672768326
3,1,1,6875.405523188908
3,1,2,6873.621808545677
3,1,3,6875.585021274242
3,2,0,7232.545720127892
3,2,1,6868.14457319046
3,2,2,6869.80294129531
3,2,3,6860.323373599168
